GAME STATS
White  vs. Orange
8/2/26, 11:13 AM
Regular Season

,1,2,Total
White ,38,31,69
Orange,54,47,101

VISITORS:  White 
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic,2,3,5,60%,1,2,50%,4,7,57%,0,0,0%,9,1,2,7,3,0,0,0,0,0,0,16,64%,0,0,
Colin Chicoine,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Devin Bradford,0,3,11,27%,2,7,29%,5,18,28%,1,2,50%,13,5,1,5,1,0,0,1,1,0,0,10,34%,0,0,
Edo Semic,9,3,5,60%,0,4,0%,3,9,33%,0,0,0%,6,0,0,1,0,0,0,0,0,0,0,1,33%,0,0,
Keenan Chicone,6,0,3,0%,1,3,33%,1,6,17%,0,0,0%,3,1,0,4,1,0,0,1,2,0,0,2,25%,0,0,
Kolby Bradford,4,4,6,67%,0,2,0%,4,8,50%,0,2,0%,8,2,0,4,0,0,0,1,1,0,0,8,45%,0,0,
Tyrone Conley,1,5,7,71%,5,13,38%,10,20,50%,5,6,83%,30,5,2,4,3,2,0,6,1,0,0,37,66%,0,0,
Wyatt Messier,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,37,49%,9,31,29%,27,68,40%,6,10,60%,69,14,5,25,8,2,0,9,5,0,0,74,47%,0,0,

HOME:  Orange
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Caleb Jarvis Comi,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
James Hare,1,3,7,43%,3,4,75%,6,11,55%,0,0,0%,15,2,1,1,0,0,1,0,1,0,0,13,68%,0,0,
Jordan Sanderson,0,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,-1,0%,0,0,
Josh Carter,7,5,11,45%,2,5,40%,7,16,44%,0,0,0%,16,9,1,7,0,1,0,2,3,0,0,24,50%,0,0,
Kenny Black,4,1,4,25%,1,5,20%,2,9,22%,0,0,0%,5,3,4,10,2,1,0,1,2,0,0,15,27%,0,0,
Paul Gutierrez,5,0,1,0%,1,3,33%,1,4,25%,0,0,0%,3,2,0,4,0,0,0,0,1,0,0,5,37%,0,0,
Spook McQueen,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stanley Salley,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stefan Radan,3,9,9,100%,8,20,40%,17,29,59%,4,5,80%,46,3,3,7,3,0,0,1,2,0,0,45,73%,0,2,
Will Ewald,6,5,6,83%,2,5,40%,7,11,64%,0,0,0%,16,4,4,5,1,0,0,1,1,0,0,25,72%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,23,39,59%,17,42,40%,40,81,49%,4,5,80%,101,23,13,34,6,2,1,5,10,0,0,126,60%,0,3,

