GAME STATS
BLACK vs. GREEN
5/17/26, 10:04 AM
Regular Season

,1,2,Total
BLACK,22,33,55
GREEN,36,44,80

VISITORS:  BLACK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,4,0,2,0%,2,5,40%,2,7,29%,1,2,50%,7,1,1,0,1,0,0,0,0,0,0,3,44%,0,0,
Chris Cayole ,0,7,14,50%,1,6,17%,8,20,40%,3,3,100%,20,0,1,4,2,2,0,1,5,0,0,11,46%,0,0,
Cyle Chappy,2,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,2,2,1,1,0,1,0,0,0,0,3,0%,0,2,
Denis Schut,1,1,7,14%,1,7,14%,2,14,14%,0,0,0%,5,2,2,5,2,0,0,0,0,0,0,2,17%,0,1,
Kenny Black ,8,1,4,25%,2,8,25%,3,12,25%,0,0,0%,8,2,2,4,2,0,0,0,0,0,0,7,33%,0,0,
Nate Merrill ,5,0,1,0%,2,3,67%,2,4,50%,0,0,0%,6,1,0,2,2,0,0,1,0,0,0,8,75%,0,0,
Stefan Radan ,7,0,3,0%,3,11,27%,3,14,21%,0,0,0%,9,3,1,10,2,1,0,1,5,0,0,9,32%,0,2,
Sub Nate,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tanner Freeman ,3,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,1,0,0,0,0,0,0,2,0,0,-2,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,9,32,28%,11,42,26%,20,74,27%,4,5,80%,55,12,9,26,12,3,1,3,12,0,0,41,36%,0,5,

HOME:  GREEN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Asko Mostarlic,7,4,8,50%,1,7,14%,5,15,33%,0,2,0%,11,4,0,12,0,1,0,0,2,0,0,14,34%,1,1,
Jaren Jeffcoat,2,9,18,50%,0,0,0%,9,18,50%,2,2,100%,20,0,4,7,4,0,0,1,0,0,0,23,52%,0,0,
Jeromy Anderson,6,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,3,2,1,0,0,0,1,0,0,3,0%,0,0,
Jerrick Jacobs,1,5,10,50%,3,15,20%,8,25,32%,0,2,0%,19,2,3,5,2,0,0,1,2,0,0,9,36%,0,0,
Kerry Lyons,8,2,4,50%,0,0,0%,2,4,50%,2,4,50%,6,0,2,3,3,0,0,1,2,0,0,6,52%,0,0,
Mahlik Franklin,3,7,11,64%,1,4,25%,8,15,53%,5,6,83%,22,10,3,8,1,1,1,2,1,0,0,37,62%,0,0,
Ty Grizzly Gray,4,1,2,50%,0,1,0%,1,3,33%,0,0,0%,2,0,0,1,0,0,1,0,0,0,0,1,33%,0,2,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,28,54,52%,5,27,19%,33,81,41%,9,16,56%,80,16,15,38,11,2,2,5,8,0,0,93,45%,1,3,

