GAME STATS
Black vs. Purple
8/9/26, 11:16 AM
Regular Season

,1,2,Total
Black,30,24,54
Purple,23,35,58

VISITORS:  Black
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Thompson,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kaleb Sweaty,7,3,10,30%,4,13,31%,7,23,30%,1,2,50%,19,2,1,8,4,0,0,1,3,0,0,11,39%,0,0,
Kyle Picard ,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Liam Walsh,6,1,3,33%,0,2,0%,1,5,20%,0,2,0%,2,1,6,3,0,0,0,0,1,0,0,5,17%,0,0,
Nick Galuszka,2,1,3,33%,1,2,50%,2,5,40%,0,0,0%,5,2,0,4,1,0,0,1,3,0,0,6,50%,0,0,
Seth Jackson,1,4,5,80%,3,8,38%,7,13,54%,0,0,0%,17,4,1,13,2,0,0,0,1,0,0,28,65%,0,0,
Sub Cory,00,1,1,100%,2,3,67%,3,4,75%,1,2,50%,9,1,0,1,1,0,0,0,0,0,0,9,92%,0,0,
Tarvarius Vance,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Ty Gray,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Will Ameden,4,1,2,50%,0,2,0%,1,4,25%,0,0,0%,2,0,1,3,3,0,0,0,2,0,0,1,25%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,11,24,46%,10,30,33%,21,54,39%,2,6,33%,54,10,9,32,11,0,0,2,10,0,0,60,47%,0,0,

HOME:  Purple
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,7,1,1,100%,2,4,50%,3,5,60%,0,0,0%,8,2,1,2,1,0,0,0,0,0,0,11,80%,0,1,
Brody Snow,4,3,8,38%,0,2,0%,3,10,30%,2,4,50%,8,1,3,3,2,0,0,1,2,0,0,5,34%,0,0,
Dennis Schut,5,2,4,50%,1,7,14%,3,11,27%,0,0,0%,7,1,0,7,1,0,0,1,1,0,0,7,31%,0,0,
Drew Fisher,2,1,3,33%,1,2,50%,2,5,40%,0,0,0%,5,0,0,1,1,0,0,0,0,0,0,3,50%,0,0,
Dylan Pratico,1,0,2,0%,1,7,14%,1,9,11%,0,0,0%,3,3,0,1,0,0,0,1,0,0,0,0,16%,0,1,
Ethan Calle,6,1,1,100%,0,1,0%,1,2,50%,0,0,0%,2,1,2,1,0,0,0,0,0,0,0,5,50%,0,0,
Kevin Garrison,0,7,11,64%,3,11,27%,10,22,45%,2,2,100%,25,6,2,10,2,1,0,4,2,0,0,34,54%,0,1,
Logan Pelchar,3,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,1,0,0,0,0,0%,0,0,
Sub Joe,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,30,50%,8,35,23%,23,65,35%,4,6,67%,58,14,8,25,7,1,0,8,5,0,0,65,42%,0,3,

