GAME STATS
Grey vs. White 
8/9/26, 7:57 AM
Regular Season

,1,2,Total
Grey,45,37,82
White ,38,35,73

VISITORS:  Grey
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,1,1,1,100%,2,4,50%,3,5,60%,0,0,0%,8,3,2,3,0,0,0,0,1,0,0,13,80%,0,0,
Aiden Brown,8,0,0,0%,1,6,17%,1,6,17%,0,0,0%,3,3,1,2,3,0,0,1,1,0,0,4,25%,0,0,
Chris Thomas,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cyle Chappy,2,0,2,0%,0,5,0%,0,7,0%,0,0,0%,0,1,0,2,1,0,0,0,0,0,0,-4,0%,0,0,
John Helsel,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kerry Lyons,4,1,2,50%,0,1,0%,1,3,33%,2,2,100%,4,4,2,8,2,1,0,0,1,0,0,16,51%,0,0,
Matt Spear,3,11,16,69%,2,5,40%,13,21,62%,4,6,67%,32,7,2,7,1,0,0,5,2,0,0,41,67%,0,0,
Sub Mahlik,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tommy Brockmyre,0,11,18,61%,3,9,33%,14,27,52%,4,5,80%,35,3,1,1,1,0,0,0,0,0,0,26,59%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,39,62%,8,30,27%,32,69,46%,10,13,77%,82,21,8,23,8,1,0,6,5,0,0,96,54%,0,0,

HOME:  White 
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic,2,2,2,100%,0,2,0%,2,4,50%,0,0,0%,4,2,3,3,4,0,0,1,1,0,0,10,50%,0,0,
Colin Chicoine,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,1,0,0,-1,0%,0,0,
Devin Bradford,0,1,3,33%,0,3,0%,1,6,17%,2,2,100%,4,3,1,3,0,0,0,0,2,0,0,4,29%,0,0,
Edo Semic,9,4,8,50%,0,6,0%,4,14,29%,0,2,0%,8,1,0,3,4,0,0,0,0,0,0,0,26%,0,0,
Keenan Chicone,6,1,3,33%,0,1,0%,1,4,25%,0,0,0%,2,1,1,1,0,0,0,0,2,0,0,0,25%,0,0,
Kolby Bradford,4,8,13,62%,0,4,0%,8,17,47%,2,3,67%,18,2,2,6,1,0,0,0,1,0,0,17,49%,0,0,
Tyrone Conley,1,9,9,100%,1,4,25%,10,13,77%,0,0,0%,21,1,4,6,0,0,0,1,3,0,0,27,80%,0,0,
Wyatt Messier,5,5,10,50%,2,6,33%,7,16,44%,0,0,0%,16,0,2,4,1,0,0,1,0,0,0,14,50%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,30,48,63%,3,26,12%,33,74,45%,4,7,57%,73,10,13,26,10,0,0,3,10,0,0,71,47%,0,1,

