GAME STATS
PINK vs. GRAY
5/17/26, 12:06 PM
Regular Season

,1,2,Total
PINK,31,32,63
GRAY,35,37,72

VISITORS:  PINK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic ,0,1,2,50%,0,1,0%,1,3,33%,0,0,0%,2,1,0,5,1,1,0,0,0,0,0,7,33%,0,0,
Cody Jarvis ,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,1,2,1,0,0,0,1,0,0,2,0%,0,0,
Edo Semic ,5,1,2,50%,3,4,75%,4,6,67%,2,2,100%,13,1,0,1,3,0,0,1,0,0,0,14,94%,0,0,
Jack Lloyd ,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kyle Haley,8,7,10,70%,1,11,9%,8,21,38%,0,2,0%,17,4,0,12,2,0,0,0,6,0,0,12,38%,0,1,
Liam Walsh ,3,4,12,33%,0,2,0%,4,14,29%,1,4,25%,9,0,3,13,3,0,0,0,2,0,0,10,28%,0,1,
Max Taylor ,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tyrone Conley,1,3,9,33%,5,9,56%,8,18,44%,1,2,50%,22,2,3,6,3,1,0,2,3,0,0,22,58%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,16,35,46%,9,27,33%,25,62,40%,4,10,40%,63,8,7,39,13,2,0,3,12,0,0,67,47%,0,2,

HOME:  GRAY
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,0,0,1,0%,1,5,20%,1,6,17%,0,0,0%,3,1,0,0,0,0,0,2,0,0,0,1,25%,0,0,
Drew Fisher,3,2,5,40%,1,5,20%,3,10,30%,0,0,0%,7,0,1,2,2,0,0,1,1,0,0,3,35%,0,0,
Dylan Pratico ,1,0,4,0%,3,10,30%,3,14,21%,2,2,100%,11,3,2,5,3,0,0,3,2,0,0,11,36%,0,1,
Ethan Calle,2,1,3,33%,0,3,0%,1,6,17%,0,0,0%,2,0,0,2,2,0,0,1,0,0,0,0,16%,0,0,
Kevin Garrison,5,5,8,63%,6,14,43%,11,22,50%,4,5,80%,32,5,2,14,2,0,0,2,2,0,0,41,66%,0,0,
Kyle DeCoster,4,3,8,38%,2,6,33%,5,14,36%,2,2,100%,14,0,3,2,1,0,0,0,1,0,0,9,47%,0,0,
Manny Robertson,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Myles Robertson,7,0,0,0%,1,5,20%,1,5,20%,0,1,0%,3,0,3,1,1,0,0,0,0,0,0,2,27%,0,0,
Sub Finn ,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Peter,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,11,29,38%,14,48,29%,25,77,32%,8,10,80%,72,9,11,26,11,0,0,9,6,0,0,67,44%,0,1,

