GAME STATS
PURPLE vs. RED
5/17/26, 8:00 AM
Regular Season

,1,2,Total
PURPLE,40,25,65
RED,36,31,67

VISITORS:  PURPLE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brandon Huestis ,3,4,9,44%,1,9,11%,5,18,28%,0,0,0%,11,0,3,2,5,0,0,1,3,0,0,1,30%,0,1,
Brock Carpenter ,0,1,7,14%,0,4,0%,1,11,9%,1,2,50%,3,4,1,5,0,0,0,1,2,0,0,1,12%,0,0,
Jimmy Warden ,7,4,8,50%,3,6,50%,7,14,50%,2,2,100%,19,2,1,3,1,0,0,1,1,0,0,18,63%,0,1,
Kaleb Swetty,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Mark Nigolian,2,2,3,67%,0,0,0%,2,3,67%,0,0,0%,4,0,0,1,2,0,0,0,0,0,0,4,66%,0,0,
Peter SUB,55,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Stan,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,1,2,4,0,0,0,2,0,0,1,0%,0,0,
Tre Grubbs ,8,4,10,40%,2,6,33%,6,16,38%,0,0,0%,14,4,0,11,0,0,0,4,3,0,0,20,43%,0,0,
Trevis Buckhannon,1,6,13,46%,0,0,0%,6,13,46%,2,2,100%,14,1,7,11,0,1,0,0,2,0,0,25,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,21,50,42%,6,25,24%,27,75,36%,5,6,83%,65,11,13,35,12,1,0,7,13,0,0,70,41%,0,2,

HOME:  RED
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Carter Beeman,1,5,5,100%,0,4,0%,5,9,56%,3,4,75%,13,0,3,9,0,0,0,1,1,0,0,20,60%,0,0,
Emin Kekic ,4,1,1,100%,0,1,0%,1,2,50%,0,0,0%,2,0,0,1,0,1,0,0,1,0,0,2,50%,0,0,
Jibril Abdullahi,8,11,24,46%,2,10,20%,13,34,38%,4,4,100%,32,2,1,8,2,0,0,2,2,0,0,22,44%,0,0,
Josh Carter,7,3,8,38%,0,1,0%,3,9,33%,0,0,0%,6,3,0,3,1,0,0,1,2,0,0,5,33%,0,0,
Kolby Bradford,3,3,5,60%,0,1,0%,3,6,50%,0,0,0%,6,3,1,1,0,0,0,1,0,0,0,9,50%,0,0,
Logan Hogaboom,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,1,1,3,0,0,0,1,0,0,1,0%,0,0,
Logan Tobin,2,0,3,0%,0,2,0%,0,5,0%,0,0,0%,0,1,0,1,0,0,0,0,0,0,0,-3,0%,0,0,
Sub Peter,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Picard,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Will Ewald,5,2,3,67%,1,4,25%,3,7,43%,1,2,50%,8,2,3,6,2,0,0,4,3,0,0,15,50%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,25,49,51%,3,23,13%,28,72,39%,8,10,80%,67,11,9,30,8,1,0,9,10,0,0,71,43%,0,1,

