GAME STATS
Pink vs. Orange
8/9/26, 10:16 AM
Regular Season

,1,2,Total
Pink,35,35,70
Orange,34,17,51

VISITORS:  Pink
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Donnie Dwyer,2,3,8,38%,4,9,44%,7,17,41%,7,8,88%,25,4,3,9,1,0,0,0,3,0,0,27,60%,0,0,
Hans Lynn,7,2,3,67%,0,0,0%,2,3,67%,0,0,0%,4,0,0,0,0,0,0,0,0,0,0,3,66%,0,0,
Jeromy Anderson,0,5,10,50%,0,0,0%,5,10,50%,0,0,0%,10,0,3,7,0,0,0,2,0,0,0,17,50%,0,0,
Jerrick Jacobs,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Joe Luiz,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
John Obrien,5,1,5,20%,1,4,25%,2,9,22%,0,0,0%,5,1,1,3,1,0,0,0,1,0,0,2,27%,0,0,
Matt Riordan,1,5,10,50%,1,4,25%,6,14,43%,4,6,67%,17,7,1,9,0,0,0,4,3,0,0,25,51%,0,1,
Sub Elizer,0,3,7,43%,1,1,100%,4,8,50%,0,0,0%,9,1,1,4,2,0,0,0,1,0,0,10,56%,0,0,
Tavian Barrino,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,43,44%,7,18,39%,26,61,43%,11,14,79%,70,13,9,32,4,0,0,6,8,0,0,84,52%,0,1,

HOME:  Orange
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Caleb Jarvis Comi,2,0,1,0%,2,5,40%,2,6,33%,0,0,0%,6,2,0,6,1,0,0,4,0,0,0,14,50%,0,0,
James Hare,1,4,5,80%,0,5,0%,4,10,40%,1,1,100%,9,1,1,3,3,0,0,1,2,0,0,7,43%,0,1,
Jordan Sanderson,0,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,-1,0%,0,0,
Josh Carter,7,5,13,38%,3,7,43%,8,20,40%,0,0,0%,19,3,1,3,1,0,0,0,2,0,0,12,47%,0,1,
Kenny Black,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Paul Gutierrez,5,3,4,75%,1,7,14%,4,11,36%,0,0,0%,9,0,1,2,2,0,0,1,0,0,0,6,40%,0,2,
Spook McQueen,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stanley Salley,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stefan Radan,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Carter,0,2,11,18%,1,6,17%,3,17,18%,1,2,50%,8,4,4,11,3,0,0,0,2,0,0,10,22%,0,1,
Will Ewald,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,14,35,40%,7,30,23%,21,65,32%,2,3,67%,51,10,7,25,11,0,0,6,6,0,0,48,38%,0,5,

