GAME STATS
Red vs. Green
8/9/26, 9:03 AM
Regular Season

,1,2,OT1,Total
Red,35,41,6,82
Green,46,30,2,78

VISITORS:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Cayole,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jaren Jeffcoat,3,10,18,56%,0,2,0%,10,20,50%,2,2,100%,22,2,5,12,0,2,1,3,3,0,0,33,52%,0,0,
Jason West,5,2,5,40%,1,2,50%,3,7,43%,0,0,0%,7,6,1,3,3,1,0,1,0,0,0,15,50%,0,0,
Joel McMahon,7,0,2,0%,0,3,0%,0,5,0%,0,0,0%,0,2,3,4,3,0,0,0,0,0,0,4,0%,0,0,
Suave,0,7,19,37%,5,10,50%,12,29,41%,1,5,20%,30,3,7,7,0,1,0,2,1,0,0,28,48%,0,0,
Sub Cole,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Timmy Ashley,6,3,6,50%,0,4,0%,3,10,30%,0,0,0%,6,1,2,7,0,0,0,1,1,0,0,9,30%,0,0,
Will Oboh,2,7,13,54%,1,5,20%,8,18,44%,0,0,0%,17,4,0,1,0,0,0,1,2,0,0,11,47%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,29,63,46%,7,26,27%,36,89,40%,3,7,43%,82,18,18,34,6,4,1,8,7,0,0,100,44%,0,0,

HOME:  Green
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Austin Hamlin,3,0,1,0%,0,3,0%,0,4,0%,0,0,0%,0,1,2,1,1,0,0,1,1,0,0,0,0%,0,0,
Brandon Boyer,0,5,7,71%,0,4,0%,5,11,45%,1,2,50%,11,1,6,14,2,0,0,0,2,0,0,23,46%,0,0,
Calder Horowitz McCadden,0,7,16,44%,4,13,31%,11,29,38%,1,2,50%,27,4,3,10,0,1,0,2,0,0,0,28,45%,0,0,
Jibril Abdullahi,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Lynn,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Paddy Monaghan,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Cory,00,4,5,80%,3,11,27%,7,16,44%,0,0,0%,17,4,2,2,4,0,0,2,2,0,0,16,53%,0,0,
Sub Fab,00,7,15,47%,1,6,17%,8,21,38%,4,4,100%,21,2,3,3,3,0,1,0,4,0,0,12,46%,0,0,
Wyatt Jarvis Comi,8,1,2,50%,0,4,0%,1,6,17%,0,0,0%,2,2,3,5,1,0,0,0,3,0,0,4,16%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,46,52%,8,41,20%,32,87,37%,6,8,75%,78,14,19,35,11,1,1,5,12,0,0,83,43%,0,0,

