GAME STATS
TAN vs. ORANGE
5/17/26, 11:07 AM
Regular Season

,1,2,Total
TAN,29,28,57
ORANGE,40,40,80

VISITORS:  TAN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aiden Brown ,4,1,2,50%,1,6,17%,2,8,25%,0,0,0%,5,3,3,8,1,0,1,0,3,0,0,10,31%,0,0,
Brody Snow,2,2,8,25%,0,1,0%,2,9,22%,0,0,0%,4,1,0,3,0,0,0,0,3,0,0,-2,22%,0,0,
Cory Chaplin ,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Devin Bradford ,0,2,5,40%,2,10,20%,4,15,27%,0,0,0%,10,0,1,4,3,0,0,0,2,0,0,2,33%,0,2,
Hakeem Faud ,7,5,12,42%,3,9,33%,8,21,38%,5,5,100%,24,5,1,17,1,0,0,2,3,0,0,33,51%,0,2,
Jeremy Franklin ,5,1,5,20%,2,5,40%,3,10,30%,2,3,67%,10,4,2,2,3,0,0,2,0,0,0,12,44%,0,0,
Kyle Picard,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Pelchar,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Stan,00,2,3,67%,0,0,0%,2,3,67%,0,0,0%,4,0,0,1,4,0,0,0,1,0,0,3,66%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,13,35,37%,8,31,26%,21,66,32%,7,8,88%,57,13,7,35,12,0,1,4,12,0,0,58,40%,0,4,

HOME:  ORANGE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Cole Sampson,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Eleizer Perez Jr. ,0,1,3,33%,3,4,75%,4,7,57%,1,1,100%,12,2,2,5,1,0,0,1,1,0,0,18,80%,0,0,
Jason West,5,1,3,33%,0,2,0%,1,5,20%,0,0,0%,2,6,0,9,0,0,0,1,1,0,0,13,20%,0,0,
Paul Gutierrez,1,0,2,0%,2,10,20%,2,12,17%,0,0,0%,6,1,0,4,0,0,0,0,0,0,0,1,25%,0,0,
Timmy Ashley,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Trent Roleau,8,9,13,69%,1,7,14%,10,20,50%,5,6,83%,26,1,7,7,2,0,0,2,0,0,0,32,57%,0,0,
Walker Storey,7,5,9,56%,2,7,29%,7,16,44%,0,0,0%,16,5,2,7,0,0,0,0,1,0,0,20,50%,0,0,
Will Oboh,2,2,5,40%,4,9,44%,6,14,43%,2,6,33%,18,3,0,3,5,0,0,6,4,0,0,14,54%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,35,51%,12,39,31%,30,74,41%,8,13,62%,80,18,11,35,8,0,0,10,7,0,0,98,50%,0,0,

