GAME STATS
BLUE vs. ORANGE
5/31/26, 10:00 AM
Regular Season

,1,2,Total
BLUE,31,45,76
ORANGE,34,45,79

VISITORS:  BLUE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,0,4,10,40%,0,3,0%,4,13,31%,0,1,0%,8,0,2,6,0,0,0,0,1,0,0,5,29%,0,1,
Jack McCoy,00,9,21,43%,3,10,30%,12,31,39%,2,5,40%,29,4,1,15,0,0,0,2,2,0,0,27,43%,0,0,
James Hare,3,2,6,33%,2,4,50%,4,10,40%,0,0,0%,10,4,2,3,1,0,0,0,1,0,0,12,50%,0,0,
Joe Ruggles,8,1,5,20%,2,4,50%,3,9,33%,0,0,0%,8,1,2,4,1,0,0,0,3,0,0,6,44%,0,0,
Matt Spear,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Lynn,1,3,5,60%,2,5,40%,5,10,50%,0,0,0%,12,1,2,5,0,0,0,1,1,0,0,15,60%,0,0,
Pete Lindholm,4,0,0,0%,2,3,67%,2,3,67%,0,0,0%,6,2,1,1,3,0,0,0,0,0,0,9,100%,0,0,
Robert Yefchak,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Wyatt Jarvis-Comi,7,0,0,0%,1,2,50%,1,2,50%,0,0,0%,3,2,0,3,1,0,0,1,0,0,0,8,75%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,47,40%,12,31,39%,31,78,40%,2,6,33%,76,14,10,37,6,0,0,4,8,0,0,82,47%,0,1,

HOME:  ORANGE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Cole Sampson,3,3,6,50%,1,6,17%,4,12,33%,0,0,0%,9,0,0,10,2,0,0,0,0,0,0,11,37%,0,0,
Eleizer Perez Jr. ,0,1,3,33%,1,4,25%,2,7,29%,0,0,0%,5,2,0,1,2,0,0,0,0,0,0,3,35%,0,0,
Jason West,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Paul Gutierrez,1,0,0,0%,0,3,0%,0,3,0%,0,0,0%,0,1,0,1,0,0,0,1,0,0,0,0,0%,0,0,
Timmy Ashley,4,0,2,0%,1,5,20%,1,7,14%,0,0,0%,3,1,3,2,0,0,1,0,0,0,0,3,21%,0,0,
Trent Roleau,8,8,14,57%,5,9,56%,13,23,57%,3,4,75%,34,1,5,9,2,0,0,1,1,0,0,38,68%,0,0,
Walker Storey,7,5,15,33%,1,5,20%,6,20,30%,0,0,0%,13,5,2,8,2,0,0,1,1,0,0,14,32%,0,0,
Will Oboh,2,4,8,50%,2,7,29%,6,15,40%,1,1,100%,15,5,3,5,2,0,0,1,3,0,0,17,48%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,21,48,44%,11,39,28%,32,87,37%,4,5,80%,79,15,13,36,10,0,1,4,5,0,0,86,44%,0,0,

