GAME STATS
PINK vs. WHITE
5/31/26, 7:59 AM
Regular Season

,1,2,Total
PINK,46,36,82
WHITE,41,42,83

VISITORS:  PINK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic ,0,0,1,0%,1,3,33%,1,4,25%,0,0,0%,3,0,0,3,4,0,0,1,1,0,0,3,37%,0,0,
Cody Jarvis ,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Edo Semic ,5,1,4,25%,2,9,22%,3,13,23%,0,0,0%,8,1,0,4,2,0,0,0,2,0,0,1,30%,0,1,
Jack Lloyd ,7,2,5,40%,0,1,0%,2,6,33%,0,0,0%,4,1,0,3,1,0,0,2,0,0,0,6,33%,0,0,
Kyle Haley,8,2,2,100%,4,13,31%,6,15,40%,2,2,100%,18,5,0,7,4,0,0,0,4,0,0,17,56%,0,1,
Liam Walsh ,3,7,12,58%,3,5,60%,10,17,59%,0,0,0%,23,3,1,7,2,2,0,0,1,0,0,28,67%,0,0,
Max Taylor ,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tyrone Conley,1,3,4,75%,6,10,60%,9,14,64%,2,3,67%,26,6,4,7,3,0,0,1,4,0,0,34,84%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,28,54%,16,41,39%,31,69,45%,4,5,80%,82,16,5,31,16,2,0,4,12,0,0,89,57%,0,2,

HOME:  WHITE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Avery Barrino,8,0,1,0%,0,1,0%,0,2,0%,2,2,100%,2,0,1,1,0,0,0,0,0,0,0,2,34%,0,1,
Donnie Dwyer,7,4,6,67%,4,10,40%,8,16,50%,1,3,33%,21,2,3,0,2,0,0,0,2,0,0,14,60%,0,0,
Hans Lynn,4,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,1,1,4,0,0,0,0,0,0,0,5,0%,0,0,
John Helsel,0,4,6,67%,0,0,0%,4,6,67%,2,4,50%,10,1,4,3,0,0,0,0,0,0,0,14,64%,0,1,
John O'Brien,3,0,0,0%,0,2,0%,0,2,0%,0,1,0%,0,0,0,1,1,0,0,0,0,0,0,-2,0%,0,0,
Matt Riordan ,1,2,6,33%,1,4,25%,3,10,30%,0,1,0%,7,6,2,7,4,0,1,1,1,0,0,14,33%,2,0,
Tavian Barrino,5,7,9,78%,1,10,10%,8,19,42%,6,7,86%,23,1,0,4,1,0,0,2,3,0,0,15,52%,0,2,
Zaire Wilson,2,7,10,70%,2,11,18%,9,21,43%,0,0,0%,20,5,0,12,3,0,0,3,1,0,0,27,47%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,39,62%,8,38,21%,32,77,42%,11,18,61%,83,16,11,32,11,0,1,6,7,0,0,89,48%,2,4,

