GAME STATS
PURPLE vs. GREEN
5/31/26, 12:02 PM
Regular Season

,1,2,Total
PURPLE,48,50,98
GREEN,44,37,81

VISITORS:  PURPLE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brandon Huestis ,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brock Carpenter ,0,6,8,75%,1,2,50%,7,10,70%,0,0,0%,15,1,0,10,2,0,0,0,2,0,0,21,75%,0,0,
Jimmy Warden ,7,2,8,25%,3,5,60%,5,13,38%,0,0,0%,13,4,1,1,1,0,0,0,2,0,0,9,50%,0,0,
Kaleb Swetty,4,5,16,31%,4,10,40%,9,26,35%,1,2,50%,23,5,3,3,0,0,0,1,3,0,0,14,42%,0,0,
Mark Nigolian,2,2,4,50%,0,0,0%,2,4,50%,0,0,0%,4,0,0,0,1,0,0,0,0,0,0,2,50%,0,0,
Peter SUB,55,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Stan,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tre Grubbs ,8,3,7,43%,5,6,83%,8,13,62%,4,4,100%,25,4,2,9,2,0,0,1,0,0,0,36,84%,0,0,
Trevis Buckhannon,1,9,17,53%,0,1,0%,9,18,50%,0,0,0%,18,2,4,12,1,1,1,1,1,0,0,28,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,27,60,45%,13,24,54%,40,84,48%,5,6,83%,98,16,10,35,7,1,1,3,8,0,0,110,56%,0,0,

HOME:  GREEN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,0,3,11,27%,1,9,11%,4,20,20%,0,0,0%,9,7,2,5,0,0,0,2,2,0,0,7,22%,0,1,
Asko Mostarlic,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jaren Jeffcoat,2,6,11,55%,0,1,0%,6,12,50%,2,2,100%,14,3,4,4,4,0,0,2,1,0,0,20,54%,0,0,
Jeromy Anderson,6,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,1,1,2,0,0,0,0,0,0,0,3,0%,0,0,
Jerrick Jacobs,1,2,4,50%,3,10,30%,5,14,36%,0,0,0%,13,0,0,2,3,0,0,1,0,0,0,7,46%,0,0,
Kerry Lyons,8,4,9,44%,0,0,0%,4,9,44%,0,0,0%,8,0,0,9,0,0,0,1,1,0,0,12,44%,0,0,
Mahlik Franklin,3,9,12,75%,5,10,50%,14,22,64%,4,5,80%,37,4,1,8,0,1,1,0,2,0,0,40,76%,0,2,
Ty Grizzly Gray,4,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0,1,1,0,1,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,49,49%,9,30,30%,33,79,42%,6,7,86%,81,15,8,31,8,1,2,6,6,0,0,89,49%,0,3,

