GAME STATS
TAN vs. BLACK
5/31/26, 9:05 AM
Regular Season

,1,2,Total
TAN,37,28,65
BLACK,50,41,91

VISITORS:  TAN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aiden Brown ,4,0,1,0%,0,8,0%,0,9,0%,0,0,0%,0,1,3,2,0,0,0,2,2,0,0,-3,0%,0,2,
Brody Snow,2,1,4,25%,0,4,0%,1,8,13%,0,0,0%,2,2,4,4,1,0,0,0,0,0,0,5,12%,0,1,
Cory Chaplin ,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Devin Bradford ,0,3,9,33%,2,12,17%,5,21,24%,0,0,0%,12,2,2,2,0,0,0,0,0,0,0,2,28%,0,1,
Hakeem Faud ,7,19,29,66%,3,13,23%,22,42,52%,0,0,0%,47,1,4,14,5,0,0,4,2,0,0,48,55%,0,0,
Jeremy Franklin ,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kyle Picard,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Pelchar,3,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,1,0,1,0,0,0,0,1,0,0,-1,0%,0,0,
Sub Brandon,00,2,3,67%,0,3,0%,2,6,33%,0,0,0%,4,0,1,0,0,0,0,0,0,0,0,1,33%,0,0,
Sub Stan,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,25,46,54%,5,42,12%,30,88,34%,0,0,0%,65,7,14,23,6,0,0,6,5,0,0,52,36%,0,4,

HOME:  BLACK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,4,1,3,33%,0,8,0%,1,11,9%,0,0,0%,2,2,2,2,0,0,0,0,2,0,0,-4,9%,0,1,
Chris Cayole ,0,10,16,63%,2,10,20%,12,26,46%,3,4,75%,29,4,7,13,0,0,0,0,2,0,0,36,52%,0,0,
Cyle Chappy,2,0,1,0%,2,3,67%,2,4,50%,0,0,0%,6,0,1,2,0,0,0,0,1,0,0,6,75%,0,0,
Denis Schut,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kenny Black ,8,3,5,60%,2,5,40%,5,10,50%,0,0,0%,12,5,5,7,0,0,0,0,5,0,0,19,60%,0,0,
Nate Merrill ,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stefan Radan ,7,5,9,56%,6,18,33%,11,27,41%,2,3,67%,30,4,7,11,0,3,0,0,0,0,0,38,52%,0,0,
Sub Nate,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tanner Freeman ,3,3,8,38%,2,4,50%,5,12,42%,0,0,0%,12,6,3,2,1,0,0,2,2,0,0,16,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,42,52%,14,48,29%,36,90,40%,5,7,71%,91,21,25,37,1,3,0,2,12,0,0,111,48%,0,1,

