GAME STATS
GRAY vs. TAN
6/7/26, 9:03 AM
Regular Season

,1,2,Total
GRAY,31,41,72
TAN,38,26,64

VISITORS:  GRAY
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,0,0,0,0%,2,9,22%,2,9,22%,0,0,0%,6,2,4,3,1,0,0,1,2,0,0,7,33%,0,1,
Drew Fisher,3,2,3,67%,1,9,11%,3,12,25%,0,0,0%,7,0,2,4,0,0,0,1,2,0,0,3,29%,0,0,
Dylan Pratico ,1,6,11,55%,0,5,0%,6,16,38%,0,2,0%,12,4,1,10,1,0,2,2,3,0,0,14,35%,0,0,
Ethan Calle,2,3,4,75%,3,8,38%,6,12,50%,1,2,50%,16,2,4,6,1,0,0,2,4,0,0,19,62%,0,1,
Kevin Garrison,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kyle DeCoster,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Manny Robertson,8,4,7,57%,7,18,39%,11,25,44%,2,4,50%,31,4,4,10,0,0,0,1,2,0,0,32,57%,0,0,
Myles Robertson,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Finn ,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Peter,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,25,60%,13,49,27%,28,74,38%,3,8,38%,72,12,15,33,3,0,2,7,13,0,0,75,46%,0,2,

HOME:  TAN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aiden Brown ,4,1,3,33%,3,16,19%,4,19,21%,0,0,0%,11,4,1,7,0,0,0,1,4,0,0,5,28%,0,1,
Brody Snow,2,10,16,63%,1,3,33%,11,19,58%,0,1,0%,23,3,3,8,2,0,0,0,0,0,0,28,59%,0,0,
Cory Chaplin ,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Devin Bradford ,0,6,12,50%,2,6,33%,8,18,44%,0,1,0%,18,1,3,6,1,0,0,1,1,0,0,17,48%,0,0,
Hakeem Faud ,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jeremy Franklin ,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kyle Picard,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Pelchar,3,0,0,0%,0,4,0%,0,4,0%,0,0,0%,0,0,0,5,1,0,0,1,2,0,0,0,0%,0,0,
Sub Brandon,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Stan,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Will,0,1,6,17%,3,6,50%,4,12,33%,1,2,50%,12,4,2,3,5,0,0,4,3,0,0,13,46%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,37,49%,9,35,26%,27,72,38%,1,4,25%,64,12,9,29,9,0,0,7,10,0,0,63,43%,0,1,

