GAME STATS
Green vs. Orange
8/23/26, 8:00 AM
Regular Season

,1,2,Total
Green,32,38,70
Orange,41,27,68

VISITORS:  Green
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,6,4,6,67%,0,0,0%,4,6,67%,0,0,0%,8,1,0,0,3,0,0,4,0,0,0,11,66%,0,0,
Austin Hamlin,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0,1,2,0,0,0,0,0,0,2,0%,0,0,
Brandon Boyer,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Calder Horowitz McCadden,0,6,14,43%,1,4,25%,7,18,39%,0,1,0%,15,1,3,8,2,0,0,0,2,0,0,13,40%,0,0,
Jibril Abdullahi,0,7,16,44%,7,14,50%,14,30,47%,1,1,100%,36,6,4,8,2,0,0,0,6,0,0,32,59%,0,1,
Nick Lynn,2,0,2,0%,3,4,75%,3,6,50%,0,0,0%,9,1,1,1,0,2,0,0,0,0,0,11,75%,0,0,
Paddy Monaghan,1,1,6,17%,0,0,0%,1,6,17%,0,0,0%,2,3,0,5,2,0,0,0,0,0,0,5,16%,0,0,
Sub Cory,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Fab,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Wyatt Jarvis Comi,8,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0,2,1,0,0,1,0,0,0,1,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,44,41%,11,24,46%,29,68,43%,1,2,50%,70,13,8,25,12,2,0,5,8,0,0,75,50%,0,1,

HOME:  Orange
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Caleb Jarvis Comi,2,1,1,100%,1,2,50%,2,3,67%,0,0,0%,5,0,0,5,0,0,0,0,1,0,0,8,83%,0,0,
James Hare,1,2,4,50%,0,3,0%,2,7,29%,0,0,0%,4,1,1,4,3,0,0,0,0,0,0,5,28%,0,0,
Jordan Sanderson,0,1,3,33%,0,0,0%,1,3,33%,0,0,0%,2,1,2,0,1,0,0,0,0,0,0,3,33%,0,0,
Josh Carter,7,2,8,25%,3,7,43%,5,15,33%,2,2,100%,15,4,2,6,2,0,0,1,1,0,0,17,47%,0,1,
Kenny Black,4,2,3,67%,0,2,0%,2,5,40%,0,0,0%,4,2,0,2,0,0,1,1,1,0,0,5,40%,0,0,
Paul Gutierrez,5,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,0,0%,0,0,
Spook McQueen,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stanley Salley,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stefan Radan,3,7,10,70%,2,10,20%,9,20,45%,5,6,83%,25,5,4,11,1,3,0,0,5,0,0,31,55%,0,0,
Sub Carter,0,4,8,50%,1,1,100%,5,9,56%,2,4,50%,13,1,2,2,0,0,0,0,0,0,0,12,60%,0,0,
Will Ewald,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,38,50%,7,25,28%,26,63,41%,9,12,75%,68,14,11,31,7,3,1,2,8,0,0,81,49%,0,1,

