GAME STATS
ORANGE vs. RED
6/7/26, 8:00 AM
Regular Season

,1,2,Total
ORANGE,51,24,75
RED,23,40,63

VISITORS:  ORANGE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Cole Sampson,3,3,6,50%,1,4,25%,4,10,40%,0,0,0%,9,4,4,2,0,0,0,1,1,0,0,13,45%,0,0,
Eleizer Perez Jr. ,0,2,2,100%,1,2,50%,3,4,75%,0,0,0%,7,1,0,1,1,1,0,1,1,0,0,9,87%,0,0,
Jason West,5,3,5,60%,0,2,0%,3,7,43%,0,1,0%,6,2,1,9,0,0,0,0,2,0,0,11,40%,0,2,
Paul Gutierrez,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Timmy Ashley,4,1,5,20%,0,2,0%,1,7,14%,0,0,0%,2,1,0,0,1,0,0,1,0,0,0,-2,14%,0,0,
Trent Roleau,8,4,13,31%,4,9,44%,8,22,36%,4,5,80%,24,1,5,8,5,0,0,0,3,0,0,20,49%,0,0,
Walker Storey,7,5,10,50%,2,5,40%,7,15,47%,1,2,50%,17,2,1,9,0,0,0,2,1,0,0,21,53%,0,1,
Will Oboh,2,2,6,33%,2,4,50%,4,10,40%,0,0,0%,10,7,2,3,2,1,0,1,2,0,0,16,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,20,47,43%,10,28,36%,30,75,40%,5,8,63%,75,18,13,32,9,2,0,6,10,0,0,88,47%,0,3,

HOME:  RED
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Carter Beeman,1,4,6,67%,0,1,0%,4,7,57%,0,0,0%,8,0,4,5,4,0,0,0,0,0,0,14,57%,0,0,
Emin Kekic ,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jibril Abdullahi,8,8,14,57%,3,11,27%,11,25,44%,2,5,40%,27,7,1,10,1,1,0,0,3,0,0,26,49%,0,1,
Josh Carter,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kolby Bradford,3,0,4,0%,0,2,0%,0,6,0%,0,0,0%,0,0,0,4,1,0,0,0,1,0,0,-3,0%,0,0,
Logan Hogaboom,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Tobin,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Aiden,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0,1,0,0,0,0,0,0,0,2,0%,0,0,
Sub Kiley,0,2,5,40%,3,8,38%,5,13,38%,0,0,0%,13,0,2,4,3,0,0,0,1,0,0,10,50%,0,0,
Sub Peter,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Picard,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Will Ewald,5,6,11,55%,1,6,17%,7,17,41%,0,1,0%,15,2,3,7,1,0,0,3,3,0,0,16,43%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,20,40,50%,7,28,25%,27,68,40%,2,6,33%,63,10,10,31,10,1,0,3,8,0,0,65,44%,0,1,

