GAME STATS
PINK vs. PURPLE
6/7/26, 10:06 AM
Regular Season

,1,2,Total
PINK,41,39,80
PURPLE,34,42,76

VISITORS:  PINK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic ,0,0,1,0%,0,2,0%,0,3,0%,0,0,0%,0,1,2,3,1,0,0,0,1,0,0,2,0%,0,0,
Cody Jarvis ,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,1,0,0,0,0,0,0,1,0%,0,0,
Edo Semic ,5,2,2,100%,2,5,40%,4,7,57%,1,1,100%,11,1,0,5,3,0,0,0,3,0,0,11,73%,0,0,
Jack Lloyd ,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kyle Haley,8,3,8,38%,7,13,54%,10,21,48%,2,2,100%,29,1,1,5,0,0,0,2,4,0,0,23,66%,0,0,
Liam Walsh ,3,1,6,17%,2,4,50%,3,10,30%,0,0,0%,8,3,1,3,2,0,0,0,1,0,0,7,40%,0,0,
Max Taylor ,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tyrone Conley,1,6,8,75%,3,9,33%,9,17,53%,11,12,92%,32,3,1,10,0,2,0,2,1,0,0,40,71%,1,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,25,48%,14,33,42%,26,58,45%,14,15,93%,80,9,5,27,7,2,0,4,10,0,0,84,61%,1,0,

HOME:  PURPLE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brandon Huestis ,3,4,7,57%,3,8,38%,7,15,47%,0,0,0%,17,0,1,3,3,0,0,2,1,0,0,14,56%,0,1,
Brock Carpenter ,0,4,5,80%,0,1,0%,4,6,67%,1,2,50%,9,2,1,5,5,2,0,0,0,0,0,16,65%,0,0,
Jimmy Warden ,7,3,8,38%,1,6,17%,4,14,29%,3,6,50%,12,3,2,4,2,0,0,0,0,0,0,8,36%,0,1,
Kaleb Swetty,4,4,8,50%,6,11,55%,10,19,53%,1,2,50%,27,3,0,1,0,0,0,2,2,0,0,21,67%,0,1,
Mark Nigolian,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,1,0,0,0,1,0%,0,0,
Peter SUB,55,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Stan,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,5,1,2,50%,0,0,0%,1,2,50%,1,2,50%,3,0,1,0,1,0,0,0,0,0,0,2,52%,0,0,
Tre Grubbs ,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Trevis Buckhannon,1,3,10,30%,0,0,0%,3,10,30%,2,2,100%,8,3,4,15,2,2,0,1,2,0,0,24,36%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,40,48%,10,26,38%,29,66,44%,8,14,57%,76,11,9,28,13,4,0,6,5,0,0,86,52%,0,4,

