GAME STATS
Purple vs. Red
8/23/26, 9:03 AM
Regular Season

,1,2,Total
Purple,26,33,59
Red,32,34,66

VISITORS:  Purple
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,7,1,2,50%,0,5,0%,1,7,14%,0,0,0%,2,2,1,3,2,0,0,0,0,0,0,2,14%,0,0,
Brody Snow,4,2,9,22%,2,7,29%,4,16,25%,1,2,50%,11,4,2,0,0,0,0,2,1,0,0,5,32%,0,1,
Dennis Schut,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Drew Fisher,2,3,4,75%,1,7,14%,4,11,36%,0,0,0%,9,0,1,3,5,0,0,0,2,0,0,4,40%,0,1,
Dylan Pratico,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Ethan Calle,6,1,5,20%,0,4,0%,1,9,11%,0,0,0%,2,1,4,4,2,0,0,1,3,0,0,1,11%,0,2,
Kevin Garrison,0,5,11,45%,7,16,44%,12,27,44%,4,5,80%,35,3,4,16,1,0,0,2,3,0,0,41,59%,0,0,
Logan Pelchar,3,0,0,0%,0,4,0%,0,4,0%,0,0,0%,0,0,0,2,1,0,0,1,0,0,0,-1,0%,0,0,
Sub Joe,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,31,39%,10,43,23%,22,74,30%,5,7,71%,59,10,12,28,11,0,0,6,9,0,0,52,38%,0,4,

HOME:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Cayole,0,7,11,64%,3,8,38%,10,19,53%,3,3,100%,26,1,0,5,1,0,0,2,2,0,0,23,63%,0,0,
Jaren Jeffcoat,3,6,18,33%,1,4,25%,7,22,32%,3,4,75%,18,4,3,10,3,0,0,2,0,0,0,21,37%,0,0,
Jason West,5,0,1,0%,0,1,0%,0,2,0%,0,0,0%,0,4,0,5,0,1,0,1,0,0,0,9,0%,0,0,
Joel McMahon,7,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,-1,0%,0,0,
Suave,0,1,2,50%,0,1,0%,1,3,33%,0,0,0%,2,3,2,3,1,0,0,0,2,0,0,6,33%,0,0,
Sub Cole,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,1,1,2,50%,0,2,0%,1,4,25%,3,4,75%,5,0,2,2,0,1,0,1,0,0,0,7,43%,0,0,
Timmy Ashley,6,1,1,100%,2,3,67%,3,4,75%,0,0,0%,8,0,0,6,1,0,0,1,2,0,0,12,100%,0,0,
Will Oboh,2,3,5,60%,0,2,0%,3,7,43%,1,2,50%,7,3,2,3,1,0,0,1,4,0,0,7,44%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,41,46%,6,21,29%,25,62,40%,10,13,77%,66,15,9,34,7,2,0,8,10,0,0,84,48%,0,0,

