GAME STATS
WHITE vs. YELLOW
6/7/26, 11:09 AM
Regular Season

,1,2,Total
WHITE,49,34,83
YELLOW,35,41,76

VISITORS:  WHITE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Avery Barrino,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Donnie Dwyer,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Hans Lynn,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
John Helsel,0,10,17,59%,0,1,0%,10,18,56%,8,9,89%,28,0,4,10,2,0,0,1,2,0,0,32,63%,0,0,
John O'Brien,3,1,2,50%,1,2,50%,2,4,50%,0,0,0%,5,0,1,0,1,0,0,0,1,0,0,3,62%,0,0,
Matt Riordan ,1,2,7,29%,0,2,0%,2,9,22%,3,4,75%,7,5,3,8,1,3,1,3,2,0,0,19,32%,0,1,
Sub Jake,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,1,0%,0,0,
Sub Tavarius,0,4,8,50%,2,7,29%,6,15,40%,4,5,80%,18,1,1,5,2,1,1,4,3,0,0,17,52%,0,0,
Tavian Barrino,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Zaire Wilson,2,9,22,41%,2,5,40%,11,27,41%,1,4,25%,25,4,6,9,0,1,0,2,4,0,0,24,43%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,26,56,46%,5,17,29%,31,73,42%,16,22,73%,83,10,15,33,6,5,2,10,12,0,0,96,50%,0,1,

HOME:  YELLOW
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,2,3,67%,2,9,22%,4,12,33%,1,2,50%,11,1,1,2,4,0,0,2,1,0,0,7,42%,0,0,
Bela Dobkowski,3,3,4,75%,0,1,0%,3,5,60%,1,4,25%,7,2,4,3,1,0,0,0,0,0,0,11,51%,0,0,
Braden Elnicki,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cam Perta,0,0,0,0%,4,11,36%,4,11,36%,0,0,0%,12,0,0,2,3,0,0,0,0,0,0,7,54%,0,1,
Drew Pelkey,8,4,6,67%,4,10,40%,8,16,50%,2,2,100%,22,5,1,8,2,0,0,3,0,0,0,31,65%,0,1,
Dylan Mackie,5,1,1,100%,0,4,0%,1,5,20%,0,0,0%,2,1,1,4,2,0,0,1,3,0,0,2,20%,0,0,
Graden Conger,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kam Strickland,2,3,4,75%,0,0,0%,3,4,75%,0,0,0%,6,1,2,2,4,0,0,1,3,0,0,8,75%,0,0,
Logan Letourneau,4,8,14,57%,0,12,0%,8,26,31%,0,0,0%,16,5,1,4,1,0,1,2,3,0,0,7,30%,0,2,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,21,32,66%,10,47,21%,31,79,39%,4,8,50%,76,15,10,25,17,0,1,9,10,0,0,73,46%,0,4,

